"aka","year","site","ld","fl","hdCt","source","demo","Ax","Ly","nn1","nn2","nn3","nn4","nn5","nn6","nn7","unit"
"ad95",2011,"spp",1,1,2,"autoAssign","flw",683546.128537799,191907.495968513,3.3099935075209,37.9291392215013,46.3167619097771,48.026219502086,49.4845856172314,52.9832522079991,55.8534557574926,"west"
"ad95",2012,"spp",1,1,0,"ice.csv; duplicated demo records in spp2012","flw",683546.128537799,191907.495968513,5.39347207294741,7.10168579305819,7.87408531916776,10.1541045450344,10.5456391741932,20.9346941731359,22.1467362201715,"west"
"ad95",2014,"spp",1,1,5,"autoAssign","flw",683546.128537799,191907.495968513,2.42944682065571,3.3099935075209,3.36707047243122,4.57104644224453,7.53409014055205,7.87408531916776,10.1541045450344,"west"
"ad95",2016,"spp",1,1,1,"autoAssign","flw",683546.128537799,191907.495968513,2.42944682065571,5.94567413713002,15.1241917673768,20.9346941731359,22.1467362201715,29.5924057957719,35.6644287667277,"west"
"ae16",1996,"spp",1,1,6,"ice.csv; entirely unambiguous hdCt;tag=1065","flw",683487.550647419,191917.896622772,0.468995115492746,1.66856777227438,1.8327913048693,2.37887209452064,3.46606991985015,3.9506574305284,4.61101858662888,"west"
"ae16",2001,"spp",1,1,5,"ice.csv; no demo from spp2001, demo.out records based on surv","flw",683487.550647419,191917.896622772,1.8327913048693,1.90055395781972,1.94624169441526,2.59968666973439,3.46606991985015,3.9506574305284,5.00039589009423,"west"
"ae16",2002,"spp",1,0,NA,"ice.csv; NA rosetteCt but basal","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ae16",2003,"spp",1,1,1,"autoAssign","flw",683487.550647419,191917.896622772,1.90055395781972,2.59968666973439,17.3672474458605,31.4653914167032,36.6442185585838,37.3144298173055,38.8010769511606,"west"
"ae16",2005,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ae16",2007,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ae16",2010,"spp",1,1,1,"autoAssign","flw",683487.550647419,191917.896622772,0.386216538397416,1.66856777227438,3.22849026235489,3.9506574305284,4.46573871738543,4.46583645264978,5.07656667791327,"west"
"ae16",2014,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ae16",2015,"spp",1,1,1,"ice.csv; naughtyList","flw",683487.550647419,191917.896622772,0.386216538397416,1.66856777227438,1.86672985888559,2.08439786735112,3.22849026235489,3.73286326889376,4.2782498737943,"west"
"ae16",2016,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ae18",2004,"spp",1,1,1,"ice.csv; naughtyList","flw",683365.740565944,191919.135024743,3.07806724652869,4.74322099884852,7.34052598386894,7.60115478400449,8.36628239633247,9.3573814595127,11.422683111361,"west"
"ae18",2005,"spp",1,1,1,"autoAssign","flw",683365.740565944,191919.135024743,1.61733698855729,2.48336716326707,2.5477557084615,2.89351455735956,3.21131920190723,5.65788165171776,5.8222074946076,"west"
"ae18",2007,"spp",1,1,1,"ice.csv; naughtyList","flw",683365.740565944,191919.135024743,0.69629896598532,1.51820459504456,1.61733698855729,2.82769063461847,2.89351455735956,3.08390533659465,3.91290741314023,"west"
"ae18",2010,"spp",1,1,1,"autoAssign","flw",683365.740565944,191919.135024743,3.07806724652869,3.21131920190723,4.23820207468544,5.36435878912422,5.82952374096815,6.20797657547826,6.40648065939976,"west"
"ae18",2014,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
"ae18",2016,"spp",1,1,1,"autoAssign","flw",683365.740565944,191919.135024743,0.69629896598532,1.82717448835621,2.82769063461847,3.83985567061995,3.91290741314023,4.23820207468544,5.18343522454018,"west"
"ae26",2010,"spp",1,1,1,"autoAssign","flw",683456.547853359,191926.976800721,6.41734786044533,9.33726019165723,9.83895300924396,17.4189425701327,24.8391458613993,26.7962658105174,28.8487549122309,"west"
"ae26",2012,"spp",1,1,3,"autoAssign","flw",683456.547853359,191926.976800721,4.42513536468502,5.00598711759833,6.41734786044533,6.65068039486383,11.4805124183964,14.8727897829326,17.4534754222163,"west"
"ae26",2014,"spp",1,0,NA,"autoAssign","basal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"west"
